date,tic,close,high,low
2020-01-02,AAPL,72.271545,72.331702,71.029923
2020-01-02,AMGN,196.74811,199.28018,195.83032
2020-01-02,CRM,164.15013,164.22877,160.79812
2020-01-02,CSCO,40.104191,40.104191,39.656935
2020-01-02,IBM,98.017044,98.378945,97.546574
2020-01-02,INTC,53.666466,53.781139,53.11957
2020-01-02,MSFT,151.82951,151.93349,149.66485
2020-01-02,NKE,92.821106,92.83019,91.749394
2020-01-02,VZ,41.275196,41.545632,41.112936
2020-01-02,WMT,36.289959,36.579814,36.216731
2020-01-03,AAPL,71.568916,72.326882,71.345137
2020-01-03,AMGN,195.41241,196.87921,193.58506
2020-01-03,CRM,163.34407,163.93387,162.19397
2020-01-03,CSCO,39.449863,39.872273,39.325624
2020-01-03,IBM,97.235344,97.61172,96.670775
2020-01-03,INTC,53.013725,53.542982,52.757921
2020-01-03,MSFT,149.939,151.19621,149.40965
2020-01-03,NKE,92.56678,92.63944,91.10453
2020-01-03,VZ,40.835739,41.099413,40.612629
2020-01-03,WMT,35.969589,36.244192,35.878057
2020-01-06,AAPL,72.139191,72.177691,70.442792
2020-01-06,AMGN,196.912,197.03491,193.84728
2020-01-06,CRM,170.50027,170.71653,161.65333
2020-01-06,CSCO,39.590675,39.607241,38.936352
2020-01-06,IBM,97.06163,97.162956,96.410204
2020-01-06,INTC,52.86377,53.101935,52.334516
2020-01-06,MSFT,150.32657,150.39274,147.94448
2020-01-06,NKE,92.485062,92.494139,91.613162
2020-01-06,VZ,40.747845,40.964193,40.619389
2020-01-06,WMT,35.896374,36.030624,35.627874
2020-01-07,AAPL,71.799919,72.403881,71.58095
2020-01-07,AMGN,195.06001,196.66613,194.69127
2020-01-07,CRM,173.0069,173.8621,169.16339
2020-01-07,CSCO,39.333912,39.524411,39.010889
2020-01-07,IBM,97.12677,97.684102,96.554975
2020-01-07,INTC,51.98167,52.749089,51.946386
2020-01-07,MSFT,148.95598,150.93159,148.71021
2020-01-07,NKE,92.439644,93.311544,91.55866
2020-01-07,VZ,40.294868,40.687001,40.281349
2020-01-07,WMT,35.563782,35.856688,35.453943
